id,nom,marque,caracteristiques,prix,Algorithme de chiffrement,Appareils pris en charge,Avertissement sur les couleurs de l'image,Baie compatible,Baies d'extension,Capacité,Caractéristiques,Compatibilité TTA,Configuration requise,Connecteur de lecteur,Conçu pour,Couleur,Couleur du boîtier,Cryptage matériel,Disque dur,Débit de transfert de données,Fonctions,Format,Fourni avec,Garantie du fabricant,Hard Drive Form Factor Compatibility,Interface,Interface prise en charge,Localisation,Matériau du produit,Nbre max. de périphériques de stockage,Poids,Protocole de liaison de données,Source d'alimentation,Type,Type de bus,Type de câblage,Type de mémoire flash NAND,Type de tarification
8636029,Kingston XS1000,KINGSTON,SSD - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),133.3,,,,,,1 To,,,,,,,,,,,,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,28.7 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
6999693,Seagate Storage Expansion Card STJR2000400,SEAGATE,"Adaptateur d'interface - PCIe 4.0 DD: 1 x 2 To - pour Xbox Series S, Xbox Series X",683.06,,Disque SSD,,,,,,,,,"Xbox Series S, Xbox Series X",,,,1 x 2 To à état solide,,,,,Garantie de 3 ans,,PCIe 4.0,,,,1,30 g,,,,,,,
8543261,SanDisk Portable,SANDISK,SSD - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),220.72,,,,,,2 To,"Antichoc, boucle de mousqueton",,,,,,,,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,,,,Lecteur à semi-conducteurs - externe (portable),,,,
6977546,Kingston XS2000,KINGSTON,SSD - 500 Go - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur),99.76,,,,,,500 Go,"Imperméable, antichoc, antipoussière",,,,,,,,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,,,,28.9 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
11518266,KIOXIA EXCERIA PLUS G2,KIOXIA,SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - TCG Opal Encryption 2.01,203.07,AES 256 bits,,,,,2 To,3D BiCS Flash,,,,,,,Oui,,10 Gbps (USB 3.2 Gen 2x1),,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,42 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
8636028,Kingston XS1000,KINGSTON,SSD - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),217.14,,,,,,2 To,,,,,,,,,,,,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,28.7 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7712879,Kingston XS2000,KINGSTON,SSD - 4 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur),446.56,,,,,,4 To,"Imperméable, antichoc, antipoussière",,,,,,,,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,,,,28.9 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6176275,Seagate Storage Expansion Card STJR1000400,SEAGATE,"Adaptateur d'interface - PCIe 4.0 DD: 1 x 1 To - pour Xbox Series S, Xbox Series X",362.55,,Disque SSD,,,,,,,,,"Xbox Series S, Xbox Series X",,,,1 x 1 To à état solide,,,,,Garantie de 3 ans,,PCIe 4.0,,,,1,30 g,,,,,,,
8688624,Crucial X9,MICRON,SSD - 4 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),419.93,,,,,,4 To,"Antichoc, résistant aux vibrations, résistant aux impacts, résistant à la température",,,,,,,,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,32 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
8626143,Crucial X10 Pro,MICRON,SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits,330.7,AES 256 bits,,,,,2 To,"Antipoussière, imperméable, compatible PlayStation, compatible Xbox, indicateur d'état DEL",,,,,,,Oui,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,42 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,3 bits par cellule (TLC),
8626144,Crucial X10 Pro,MICRON,SSD - chiffré - 4 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits,561.65,AES 256 bits,,,,,4 To,"Antipoussière, imperméable, compatible PlayStation, compatible Xbox, indicateur d'état DEL",,,,,,,Oui,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,42 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,3 bits par cellule (TLC),
11462070,LaCie PRO5 STNA2000400,SEAGATE,SSD - 2 To - LC/APC duplex monomode - externe (portable) - Thunderbolt 5 (USB-C connecteur) - bleu - avec Seagate Rescue Data Recovery,761.88,,,,,,2 To,"Imperméable, antipoussière, résistant à la pression, protection contre les chutes sur béton jusqu'à 3 m",,,,,,Bleu,,,80 Gbps (Thunderbolt 5),,,Seagate Rescue Data Recovery,Garantie de 5 ans,,Thunderbolt 5 - USB-C,,Mondial,,,150 g,,Thunderbolt bus,Lecteur à semi-conducteurs - externe (portable),,,,
8688623,Crucial X9,MICRON,SSD - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),157.47,,,,,,1 To,"Antichoc, résistant aux vibrations, résistant aux impacts, résistant à la température",,,,,,,,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,32 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
8688622,Crucial X9,MICRON,SSD - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),232.72,,,,,,2 To,"Antichoc, résistant aux vibrations, résistant aux impacts, résistant à la température",,,,,,,,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,32 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
8208302,SanDisk Professional PRO-G40,SANDISK,G40 - SSD - 4 To - externe (portable) - USB 3.2 Gen 2 / Thunderbolt 3 (USB-C connecteur),1260.35,,,,,,4 To,"Robuste, APFS, double mode, compatible avec Apple Time Machine, NVM Express (NVMe), protection contre les chutes sur béton jusqu'à 3 m, résistant à l'écrasement, antipoussière, imperméable, boîtier aluminium",,,,,,,,,40 Gbits/s (Thunderbolt 3),,,,Garantie de 5 ans,,USB 3.2 Gen 2 / Thunderbolt 3 - USB-C,,,,,123.1 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7329004,Samsung T7 Shield 2 TB Black,SAMSUNG,PE2T0S - SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - noir,271.35,AES 256 bits,,,,,2 To,Antichoc,,,,,,Noir,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,98.5 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
5831431,WD My Passport SSD WDBAGF5000AGY,SANDISK,SSD - chiffré - 500 Go - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - gris sidéral,149.47,AES 256 bits,,,,,500 Go,"NVM Express (NVMe), antichoc, amortissement des vibrations, authentification du mot de passe, sauvegarde automatique",,,,,,Gris sidéral,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,Monde entier (sauf la Chine),,,45.7 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
7329003,Samsung T7 Shield 1 TB Black,SAMSUNG,PE1T0S - SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - noir,157.37,AES 256 bits,,,,,1 To,Antichoc,,,,,,Noir,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,98.5 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
7774671,Samsung SSD T7 SHIELD 4TB,SAMSUNG,PE4T0S - SSD - chiffré - 4 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - noir,500.28,AES 256 bits,,,,,4 To,Antichoc,,,,,,Noir,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,98 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
9850176,Integral SLIMXPRESS PRO,INTEGRAL,SSD - 2 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur) - noir,166.24,,,,,,2 To,,,,,,,Noir,,,,,,,4 ans de garantie,,USB 3.2 Gen 2x2 - USB-C,,,,,20 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
11789437,SanDisk Creator Phone,SANDISK,SSD - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),246.86,,,,,,2 To,"Imperméable, résistant à la poussière",,,,,,,,,,,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,54 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7329001,Samsung T7 Shield 2TB Blue,SAMSUNG,PE2T0R - SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - bleu,271.35,AES 256 bits,,,,,2 To,Antichoc,,,,,,Bleu,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,98.5 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6150953,Verbatim Store 'n' Go SSD 512 Go externe portable,VERBATIM,"Emportez vos données partout avec vous grâce au SSD externe portable Verbatim Store 'n' Go. Avec une capacité de stockage généreuse de 512 Go et une connectivité USB 3.2 Gen 1 via un connecteur USB-C, ce SSD offre une solution de stockage portable rapide et fiable pour vos besoins de mobilité.",44.4,,,,,,512 Go,,,,,,,,,,5.0 Gbps (USB 3.0),,,,,,USB 3.2 Gen 1 - USB-C,,,,,98 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6782065,WD Elements SE WDBAYN0020BBK,SANDISK,SSD - 2 To - externe (portable) - USB 3.0,214.08,,,,,,2 To,Formatté avec le système de fichier exFAT,,,,,,,,,,,,,Garantie de 3 ans,,USB 3.0,,,,,27.2 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
5831449,WD My Passport SSD WDBAGF0010BRD,SANDISK,SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - rouge,171.35,AES 256 bits,,L'image du produit peut être d'une couleur différente,,,1 To,"Antichoc, authentification du mot de passe, sauvegarde automatique",,,,,,Rouge,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,Monde entier (sauf la Chine),,,45.7 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6782067,WD Elements SE WDBAYN0010BBK,SANDISK,SSD - 1 To - externe (portable) - USB 3.0,130.88,,,,,,1 To,Formatté avec le système de fichier exFAT,,,,,,,,,,,,,Garantie de 3 ans,,USB 3.0,,,,,27.2 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
5831443,WD My Passport SSD WDBAGF0010BBL,SANDISK,SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - bleu nuit,171.35,AES 256 bits,,L'image du produit peut être d'une couleur différente,,,1 To,"Antichoc, authentification du mot de passe, sauvegarde automatique",,,,,,Bleu nuit,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,Monde entier (sauf la Chine),,,45.7 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
8644958,Samsung SSD T9 4TB,SAMSUNG,PG4T0B - SSD - chiffré - 4 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur) - AES 256 bits - noir,486.17,AES 256 bits,,,,,4 To,"Authentification du mot de passe, protection contre les chutes sur béton jusqu'à 3 m",,,,,,Noir,Oui,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,Europe,,,122 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
10282171,Samsung T7 MU-PC4T0T,SAMSUNG,PC4T0T - SSD - chiffré - 4 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - gris,380.48,AES 256 bits,,,,,4 To,"Antichoc, authentification du mot de passe, NVM Express (NVMe), compatible USB Attached SCSI Protocol (UASP), AES 256 bits",,,,,,Gris,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,72 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
11518264,KIOXIA EXCERIA PLUS G2,KIOXIA,SSD - chiffré - 500 Go - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - TCG Opal Encryption 2.01,103.29,AES 256 bits,,,,,500 Go,3D BiCS Flash,,,,,,,Oui,,10 Gbps (USB 3.2 Gen 2x1),,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,42 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
5456542,SSD robuste LaCie STHR1000800,SEAGATE,SSD - chiffré - 1 To - externe (portable) - USB 3.1 Gen 2 / Thunderbolt 3 (USB-C connecteur) - Self-Encrypting Drive (SED),505.3,,,,,,1 To,"Imperméable, Seagate Secure, antipoussière, robuste, NVM Express (NVMe)",,,,,,,Oui,,,,,,Garantie de 5 ans,,USB 3.1 Gen 2 / Thunderbolt 3 - USB-C,,Mondial,,,100 g,,"Bus USB, Thunderbolt bus",Lecteur à semi-conducteurs - externe (portable),,,,
11789425,SanDisk Creator Phone,SANDISK,SSD - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),167.32,,,,,,1 To,"Imperméable, résistant à la poussière",,,,,,,,,,,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,54 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7329006,Samsung SSD T7 Shield 1 TB Beige,SAMSUNG,PE1T0K - SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - beige,157.37,AES 256 bits,,,,,1 To,Antichoc,,,,,,Beige,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,98.5 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
11518265,KIOXIA EXCERIA PLUS G2,KIOXIA,SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - TCG Opal Encryption 2.01,140.05,AES 256 bits,,,,,1 To,3D BiCS Flash,,,,,,,Oui,,10 Gbps (USB 3.2 Gen 2x1),,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,42 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
5737641,Samsung T7 2TB Grey,SAMSUNG,PC2T0T - SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - gris titan,186.52,AES 256 bits,,,,,2 To,"Dynamic Thermal Guard protection, antichoc, authentification du mot de passe, NVM Express (NVMe), AES 256 bits",,,,,,Gris titan,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,58 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6157652,SanDisk Extreme Portable,SANDISK,SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 - AES 256 bits,274.78,AES 256 bits,,,,,2 To,"Antipoussière, imperméable",,,,,,,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 5 ans,,USB 3.2 Gen 2,,"Americas, Europe, Asie Pacifique, Australie, Amérique Latine, Moyen-Orient, Afrique",,,,,,Lecteur à semi-conducteurs - externe (portable),,,,
11771909,SanDisk Extreme Portable,SANDISK,SSD - 1 To - externe (portable) - USB 3.1 Gen 2 (USB-C connecteur) - pour Sony PlayStation 5,189.95,,,,,,1 To,"Antipoussière, imperméable, résistant aux chutes",,,,Sony PlayStation 5,,,,,,,,,Garantie de 5 ans,,USB 3.1 Gen 2 - USB-C,,,,,69.4 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
8644959,Samsung SSD T9 2TB,SAMSUNG,PG2T0B - SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur) - AES 256 bits - noir,264.22,AES 256 bits,,,,,2 To,"Authentification du mot de passe, protection contre les chutes sur béton jusqu'à 3 m",,,,,,Noir,Oui,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,Europe,,,122 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6977545,Kingston XS2000,KINGSTON,SSD - 2 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur),247.16,,,,,,2 To,"Imperméable, antichoc, antipoussière",,,,,,,,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,,,,28.9 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
11771925,SanDisk Extreme Portable,SANDISK,SSD - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),282.01,,,,,,2 To,"Antipoussière, imperméable, résistant aux chutes",,,,,,,,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,69.4 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7461839,Kingston IronKey Vault Privacy 80,KINGSTON,"SSD - chiffré - 960 Go - externe (portable) - USB 3.2 Gen 1 (USB-C connecteur) - 256-bit AES-XTS, FIPS 197 - Conformité TAA",419.3,"256-bit AES-XTS, FIPS 197",,,,,960 Go,"Fonction d'effacement sécurisé, Master and User Dual Passwords, écran couleur tactile, Lecture seule (protection en écriture) - Mode double, protection contre les attaques BadUSB, règles de mot passe personnalisables, Modes PIN/phrase secrète, Brute-Force Password Attack Protection, verrouillage automatique",Oui,,,,,,Oui,,,,,,Garantie de 3 ans,,USB 3.2 Gen 1 - USB-C,,,,,284.9 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
8644960,Samsung SSD T9 1TB,SAMSUNG,PG1T0B - SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur) - AES 256 bits - noir,153.25,AES 256 bits,,,,,1 To,"Authentification du mot de passe, protection contre les chutes sur béton jusqu'à 3 m",,,,,,Noir,Oui,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,Europe,,,122 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
11464545,SanDisk Extreme PRO,SANDISK,SSD - 2 To - externe (portable) - USB4 (USB-C connecteur),467.7,,,,,,2 To,"Antipoussière, imperméable, résistant aux liquides, résistant aux chutes",,,,,,,,,,,,,Garantie de 5 ans,,USB4 - USB-C,,Etats-Unis,,,172 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7625179,SanDisk Professional PRO-BLADE SSD Mag,SANDISK,BLADE SSD Mag - SSD - 1 To - externe (portable),275.38,,,,,,1 To,NVM Express (NVMe),,,,,,,,,,,,,Garantie de 5 ans,,,,,,,45.4 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
